# WerkstattArchiv Log-Datei
# Diese Datei wird automatisch beim Programmstart erstellt
# Alle wichtigen Events werden hier protokolliert

[2025-11-14 06:21:08] INFO     | Log-System gestartet
[2025-11-14 06:22:44] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:22:44] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:22:45] INFO     | Log-System gestartet
[2025-11-14 06:23:30] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:23:30] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:23:31] INFO     | Log-System gestartet
[2025-11-14 06:25:18] INFO     | Anwendung wird beendet
[2025-11-14 06:26:27] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:26:27] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:26:28] INFO     | Log-System gestartet
[2025-11-14 06:28:07] INFO     | Anwendung wird beendet
[2025-11-14 06:30:51] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:30:51] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:30:53] INFO     | Log-System gestartet
[2025-11-14 06:31:09] INFO     | Anwendung wird beendet
[2025-11-14 06:39:14] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:39:14] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:39:15] INFO     | Log-System gestartet
[2025-11-14 06:40:14] INFO     | Anwendung wird beendet
[2025-11-14 06:42:51] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:42:51] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:42:52] INFO     | Log-System gestartet
[2025-11-14 06:47:05] INFO     | Anwendung wird beendet
[2025-11-14 06:48:04] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:48:04] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:48:06] INFO     | Log-System gestartet
[2025-11-14 06:48:39] INFO     | Anwendung wird beendet
[2025-11-14 06:53:28] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:53:28] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:53:29] INFO     | Log-System gestartet
[2025-11-14 06:56:01] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:56:02] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:56:03] INFO     | Log-System gestartet
[2025-11-14 06:56:13] INFO     | Anwendung wird beendet
[2025-11-14 06:56:16] INFO     | Anwendung wird beendet
[2025-11-14 06:57:40] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:57:41] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:57:42] INFO     | Log-System gestartet
[2025-11-14 06:57:53] INFO     | Anwendung wird beendet
[2025-11-14 06:58:30] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 06:58:30] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 06:58:32] INFO     | Log-System gestartet
[2025-11-14 06:58:36] INFO     | Anwendung wird beendet
[2025-11-14 07:00:50] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:00:50] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:00:51] INFO     | Log-System gestartet
[2025-11-14 07:01:06] INFO     | Anwendung wird beendet
[2025-11-14 07:02:03] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:02:03] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:02:04] INFO     | Log-System gestartet
[2025-11-14 07:02:55] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:02:55] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:02:56] INFO     | Log-System gestartet
[2025-11-14 07:03:00] INFO     | Anwendung wird beendet
[2025-11-14 07:03:03] INFO     | Anwendung wird beendet
[2025-11-14 07:03:37] INFO     | Erstelle Einstellungen-Tab
